nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0050986,tt0069467,tt0050976,tt0083922"
nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
nm0000009,Richard Burton,1925,1984,"actor,producer,director","tt0061184,tt0087803,tt0059749,tt0057877"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0056801,tt0050783,tt0053779,tt0047528"
nm0000027,Alec Guinness,1914,2000,"actor,writer,soundtrack","tt0076759,tt0050212,tt0041546,tt0051739"
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0054215,tt0052357,tt0053125,tt0034248"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015163,tt0015324,tt0016332"
nm0000037,Gene Kelly,1912,1996,"actor,miscellaneous,director","tt0045152,tt0043278,tt0041716,tt0053946"
nm0000040,Stanley Kubrick,1928,1999,"writer,director,producer","tt0062622,tt0066921,tt0072684,tt0093058"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0089881,tt0080979,tt0051808,tt0057565"
nm0000045,Bruce Lee,1940,1973,"actor,writer,miscellaneous","tt0068767,tt0068935,tt0070034,tt0067824"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0056193,tt0047522,tt0053125,tt0039677"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0084855,tt0064115"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0069281,tt0032976,tt0077269,tt0074860"
nm0000067,Miklós Rózsa,1907,1995,"music_department,composer,actor","tt0052618,tt0038109,tt0036775,tt0037884"
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0070460,tt0075860,tt0053198,tt0055032"
nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0033467,tt0052311,tt0057427,tt0040525"
nm0000091,Gérard Pirès,1942,\N,"director,writer,actor","tt0152930,tt0064297,tt0282552,tt0421974"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0095159,tt0071853,tt0072500,tt0063929"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0070707"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0087332,tt0118747,tt0102558,tt0097428"
nm0000104,Antonio Banderas,1960,\N,"actor,producer,writer","tt0120746,tt1189073,tt0101026,tt0120657"
nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0119116,tt2872732,tt0110413,tt0100263"
nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0097499,tt0116477,tt0107616,tt3402236"
nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0116282,tt0162346,tt0105236,tt4686844"
nm0000115,Nicolas Cage,1964,\N,"actor,producer,director","tt0119094,tt0113627,tt0435705,tt0117500"
nm0000116,James Cameron,1954,\N,"writer,producer,director","tt0499549,tt0090605,tt0103064,tt1630029"
nm0000118,John Carpenter,1948,\N,"music_department,writer,composer","tt0080749,tt0069945,tt0077651,tt0096256"
nm0000122,Charles Chaplin,1889,1977,"writer,actor,director","tt0032553,tt0027977,tt0021749,tt0044837"
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1124035,tt0433383,tt0465538,tt1193138"
nm0000126,Kevin Costner,1955,\N,"actor,producer,writer","tt0119925,tt0099348,tt0102798,tt0103855"
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121"
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0119229,tt0146882,tt0450385,tt0098258"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0405159,tt1205489,tt0105695,tt0186566"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0112573,tt0104714,tt0118883,tt0117438"
nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681"
nm0000164,Anthony Hopkins,1937,\N,"actor,composer,producer","tt0102926,tt0113987,tt0975645,tt0412080"
nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0367279,tt0268978,tt0075213,tt0112384"
nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0091499,tt0083767,tt0105428,tt0111161"
nm0000180,David Lean,1908,1991,"director,writer,editor","tt0056172,tt0059113,tt0050212,tt0038574"
